名前,所属,性別,カテゴリー,800mSB,1500mSB,3000mSB,5000mSB,3kmSB,5kmSB,10kmSB,800mSB参考,1500mSB参考,3000mSB参考,5000mSB参考,3kmSB参考,5kmSB参考,10kmSB参考
源裕貴,NTN三  重,男子,一般,1:49.18,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel022.html",,,,,,
山鹿快琉,育英大群　馬,男子,一般,1:49.28,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel022.html",,,,,,
木佐亮太,筑波大島　根,男子,一般,1:49.76,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel022.html",,,,,,
��梨有仁,関西大宮　城,男子,一般,1:50.50,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel022.html",,,,,,
山�優希,KAGOTANI兵　庫,男子,一般,1:50.72,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel022.html",,,,,,
瀬戸口大地,TeamSSP熊　本,男子,一般,1:51.36,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel022.html",,,,,,
前川優月,SMILEY静  岡,男子,一般,1:51.78,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel022.html",,,,,,
杉本仁,環太平洋大岡　山,男子,一般,1:51.97,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel022.html",,,,,,
石元潤樹,ARCYELL高　知,男子,高校生,1:48.81,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel023.html",,,,,,
岡村颯太,鹿屋体育大佐　賀,男子,一般,1:48.92,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel023.html",,,,,,
東秀太,広島経済大兵　庫,男子,一般,1:49.10,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel023.html",,,,,,
寺西満輝,山梨学院大山  梨,男子,一般,1:49.59,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel023.html",,,,,,
萬野七樹,関西大大　阪,男子,一般,1:50.37,,,,,,,"http://www.kumariku.org/25/25,4,12kanaguri/rel023.html",,,,,,
